Study_Code,Sample_ID,00681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-D,24.32
WHONDRS_S19S,S19S_0072_Sed_Field_ICR-M,8.9
WHONDRS_S19S,S19S_0073_Sed_Field_ICR-U,20.24
WHONDRS_S19S,S19S_0071_Sed_Field_ICR-U,31.58
WHONDRS_S19S,S19S_0064_Sed_Field_ICR-M,21.81
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-U,29.74
WHONDRS_S19S,S19S_0072_Sed_Field_ICR-U,10.87
WHONDRS_S19S,S19S_0070_Sed_Field_ICR-M,8.6
WHONDRS_S19S,S19S_0064_Sed_Field_ICR-D,25.59
WHONDRS_S19S,S19S_0035_Sed_Field_ICR-D,23.76
WHONDRS_S19S,S19S_0073_Sed_Field_ICR-D,24.75
WHONDRS_S19S,S19S_0071_Sed_Field_ICR-D,21.59
WHONDRS_S19S,S19S_0073_Sed_Field_ICR-M,21.83
WHONDRS_S19S,S19S_0068_Sed_Field_ICR-U,8.71
WHONDRS_S19S,S19S_0071_Sed_Field_ICR-M,20.39
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-M,21.66
WHONDRS_S19S,S19S_0019_Sed_Field_ICR-M,13.1
WHONDRS_S19S,S19S_0083_Sed_Field_ICR-U,23.29
WHONDRS_S19S,S19S_0072_Sed_Field_ICR-D,8.19
WHONDRS_S19S,S19S_0057_Sed_Field_ICR-U,21.25
WHONDRS_S19S,S19S_0078_Sed_Field_ICR-M,11.38
WHONDRS_S19S,S19S_0100_Sed_Field_ICR-U,4
WHONDRS_S19S,S19S_0079_Sed_Field_ICR-M,9.43
WHONDRS_S19S,S19S_0089_Sed_Field_ICR-M,33.07
WHONDRS_S19S,S19S_0089_Sed_Field_ICR-D,Above_Range_Greater_Than_22
WHONDRS_S19S,S19S_0100_Sed_Field_ICR-D,12.65
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-D,7.86
WHONDRS_S19S,S19S_0057_Sed_Field_ICR-D,35.93
WHONDRS_S19S,S19S_0053_Sed_Field_ICR-D,12.36
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-U,4.33
WHONDRS_S19S,S19S_0079_Sed_Field_ICR-U,15.33
WHONDRS_S19S,S19S_0100_Sed_Field_ICR-M,5.51
WHONDRS_S19S,S19S_0060_Sed_Field_ICR-M,10.32
WHONDRS_S19S,S19S_0052_Sed_Field_ICR-M,22.9
WHONDRS_S19S,S19S_0052_Sed_Field_ICR-U,11.65
WHONDRS_S19S,S19S_0091_Sed_Field_ICR-M,1.35
WHONDRS_S19S,S19S_0091_Sed_Field_ICR-D,3.28
WHONDRS_S19S,S19S_0053_Sed_Field_ICR-M,11.3
WHONDRS_S19S,S19S_0089_Sed_Field_ICR-U,32.15
WHONDRS_S19S,S19S_0052_Sed_Field_ICR-D,16.47
WHONDRS_S19S,S19S_0091_Sed_Field_ICR-U,1.67
WHONDRS_S19S,S19S_0053_Sed_Field_ICR-U,11.13
WHONDRS_S19S,S19S_0098_Sed_Field_ICR-M,38.7
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-M,4.84
WHONDRS_S19S,S19S_0081_Sed_Field_ICR-M,7.58
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-M,12.25
WHONDRS_S19S,S19S_0082_Sed_Field_ICR-D,17.91
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-D,14.07
WHONDRS_S19S,S19S_0078_Sed_Field_ICR-U,6.93
WHONDRS_S19S,S19S_0098_Sed_Field_ICR-D,31.86
WHONDRS_S19S,S19S_0060_Sed_Field_ICR-U,6.2
WHONDRS_S19S,S19S_0013_Sed_Field_ICR-D,19
WHONDRS_S19S,S19S_0031_Sed_Field_ICR-U,6.42
WHONDRS_S19S,S19S_0082_Sed_Field_ICR-U,22.25
WHONDRS_S19S,S19S_0060_Sed_Field_ICR-D,10.74
WHONDRS_S19S,S19S_0031_Sed_Field_ICR-D,6.34
WHONDRS_S19S,S19S_0083_Sed_Field_ICR-D,9.6
WHONDRS_S19S,S19S_0084_Sed_Field_ICR-M,22.51
WHONDRS_S19S,S19S_0099_Sed_Field_ICR-M,14.18
WHONDRS_S19S,S19S_0021_Sed_Field_ICR-M,10.96
WHONDRS_S19S,S19S_0083_Sed_Field_ICR-M,17.88
WHONDRS_S19S,S19S_0081_Sed_Field_ICR-U,24.22
WHONDRS_S19S,S19S_0079_Sed_Field_ICR-D,17.92
WHONDRS_S19S,S19S_0026_Sed_Field_ICR-U,9.26
WHONDRS_S19S,S19S_0019_Sed_Field_ICR-D,9.92
WHONDRS_S19S,S19S_0021_Sed_Field_ICR-U,9.95
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-U,9.79
WHONDRS_S19S,S19S_0080_Sed_Field_ICR-U,20.65
WHONDRS_S19S,S19S_0066_Sed_Field_ICR-U,15.42
WHONDRS_S19S,S19S_0013_Sed_Field_ICR-M,19.78
WHONDRS_S19S,S19S_0013_Sed_Field_ICR-U,16.73
WHONDRS_S19S,S19S_0099_Sed_Field_ICR-D,8.65
WHONDRS_S19S,S19S_0080_Sed_Field_ICR-D,3.96
WHONDRS_S19S,S19S_0082_Sed_Field_ICR-M,20.54
WHONDRS_S19S,S19S_0021_Sed_Field_ICR-D,8.83
WHONDRS_S19S,S19S_0020_Sed_Field_ICR-M,7.87
WHONDRS_S19S,S19S_0086_Sed_Field_ICR-D,12.92
WHONDRS_S19S,S19S_0097_Sed_Field_ICR-U,34.99
WHONDRS_S19S,S19S_0090_Sed_Field_ICR-D,16.07
WHONDRS_S19S,S19S_0077_Sed_Field_ICR-D,16.38
WHONDRS_S19S,S19S_0020_Sed_Field_ICR-U,4.94
WHONDRS_S19S,S19S_0020_Sed_Field_ICR-D,5.49
WHONDRS_S19S,S19S_0084_Sed_Field_ICR-U,10.62
WHONDRS_S19S,S19S_0084_Sed_Field_ICR-D,9.65
WHONDRS_S19S,S19S_0099_Sed_Field_ICR-U,6.77
WHONDRS_S19S,S19S_0086_Sed_Field_ICR-U,11.3
WHONDRS_S19S,S19S_0090_Sed_Field_ICR-U,9.21
WHONDRS_S19S,S19S_0098_Sed_Field_ICR-U,29.44
WHONDRS_S19S,S19S_0024_Sed_Field_ICR-M,32.18
WHONDRS_S19S,S19S_0066_Sed_Field_ICR-D,4.19
WHONDRS_S19S,S19S_0080_Sed_Field_ICR-M,5.68
WHONDRS_S19S,S19S_0077_Sed_Field_ICR-M,8.52
WHONDRS_S19S,S19S_0090_Sed_Field_ICR-M,15.6
WHONDRS_S19S,S19S_0077_Sed_Field_ICR-U,4.88
WHONDRS_S19S,S19S_0031_Sed_Field_ICR-M,4.63
WHONDRS_S19S,S19S_0019_Sed_Field_ICR-U,8.67
WHONDRS_S19S,S19S_0097_Sed_Field_ICR-D,29.05
WHONDRS_S19S,S19S_0086_Sed_Field_ICR-M,5.27
WHONDRS_S19S,S19S_0066_Sed_Field_ICR-M,24.13
WHONDRS_S19S,S19S_0054_Sed_Field_ICR-M,13.72
WHONDRS_S19S,S19S_0078_Sed_Field_ICR-D,10.18
WHONDRS_S19S,S19S_0057_Sed_Field_ICR-M,27.23
WHONDRS_S19S,S19S_0096_Sed_Field_ICR-M,20.08
WHONDRS_S19S,S19S_0015_Sed_Field_ICR-U,10.74
WHONDRS_S19S,S19S_0029_Sed_Field_ICR-D,14.91
WHONDRS_S19S,S19S_0074_Sed_Field_ICR-U,6.79
WHONDRS_S19S,S19S_0022_Sed_Field_ICR-M,4.65
WHONDRS_S19S,S19S_0022_Sed_Field_ICR-U,5.05
WHONDRS_S19S,S19S_0015_Sed_Field_ICR-D,26.63
WHONDRS_S19S,S19S_0015_Sed_Field_ICR-M,12.35
WHONDRS_S19S,S19S_0076_Sed_Field_ICR-D,12.18
WHONDRS_S19S,S19S_0042_Sed_Field_ICR-M,Above_Range_Greater_Than_22
WHONDRS_S19S,S19S_0042_Sed_Field_ICR-D,31.73
WHONDRS_S19S,S19S_0043_Sed_Field_ICR-D,21.79
WHONDRS_S19S,S19S_0022_Sed_Field_ICR-D,5.99
WHONDRS_S19S,S19S_0011_Sed_Field_ICR-D,21.3
WHONDRS_S19S,S19S_0042_Sed_Field_ICR-U,Above_Range_Greater_Than_22
WHONDRS_S19S,S19S_0036_Sed_Field_ICR-U,16.05
WHONDRS_S19S,S19S_0043_Sed_Field_ICR-M,9.84
WHONDRS_S19S,S19S_0075_Sed_Field_ICR-U,8.01
WHONDRS_S19S,S19S_0043_Sed_Field_ICR-U,8.22
WHONDRS_S19S,S19S_0074_Sed_Field_ICR-M,21.2
WHONDRS_S19S,S19S_0006_Sed_Field_ICR-D,5.96
WHONDRS_S19S,S19S_0040_Sed_Field_ICR-U,24.52
WHONDRS_S19S,S19S_0029_Sed_Field_ICR-M,31.55
WHONDRS_S19S,S19S_0006_Sed_Field_ICR-U,9.24
WHONDRS_S19S,S19S_0029_Sed_Field_ICR-U,10.93
WHONDRS_S19S,S19S_0026_Sed_Field_ICR-D,33.13
WHONDRS_S19S,S19S_0074_Sed_Field_ICR-D,20.7
WHONDRS_S19S,S19S_0011_Sed_Field_ICR-U,21.27
WHONDRS_S19S,S19S_0036_Sed_Field_ICR-M,13.93
WHONDRS_S19S,S19S_0011_Sed_Field_ICR-M,14.93
WHONDRS_S19S,S19S_0026_Sed_Field_ICR-M,11.73
WHONDRS_S19S,S19S_0036_Sed_Field_ICR-D,19.87
WHONDRS_S19S,S19S_0006_Sed_Field_ICR-M,5.27
WHONDRS_S19S,S19S_0023_Sed_Field_ICR-D,25.55
WHONDRS_S19S,S19S_0075_Sed_Field_ICR-M,8.27
WHONDRS_S19S,S19S_0076_Sed_Field_ICR-M,40.62
WHONDRS_S19S,S19S_0034_Sed_Field_ICR-D,16.35
WHONDRS_S19S,S19S_0018_Sed_Field_ICR-U,17.34
WHONDRS_S19S,S19S_0055_Sed_Field_ICR-D,27.68
WHONDRS_S19S,S19S_0018_Sed_Field_ICR-D,11.1
WHONDRS_S19S,S19S_0028_Sed_Field_ICR-U,Above_Range_Greater_Than_22
WHONDRS_S19S,S19S_0054_Sed_Field_ICR-U,14.2
WHONDRS_S19S,S19S_0039_Sed_Field_ICR-M,12.78
WHONDRS_S19S,S19S_0023_Sed_Field_ICR-M,11.01
WHONDRS_S19S,S19S_0039_Sed_Field_ICR-D,16.43
WHONDRS_S19S,S19S_0025_Sed_Field_ICR-D,17.98
WHONDRS_S19S,S19S_0076_Sed_Field_ICR-U,10.34
WHONDRS_S19S,S19S_0041_Sed_Field_ICR-D,9.88
WHONDRS_S19S,S19S_0028_Sed_Field_ICR-D,11.39
WHONDRS_S19S,S19S_0054_Sed_Field_ICR-D,11.45
WHONDRS_S19S,S19S_0041_Sed_Field_ICR-U,11.62
WHONDRS_S19S,S19S_0039_Sed_Field_ICR-U,12.11
WHONDRS_S19S,S19S_0055_Sed_Field_ICR-M,19.72
WHONDRS_S19S,S19S_0034_Sed_Field_ICR-U,15.26
WHONDRS_S19S,S19S_0018_Sed_Field_ICR-M,15.31
WHONDRS_S19S,S19S_0023_Sed_Field_ICR-U,26.33
WHONDRS_S19S,S19S_0044_Sed_Field_ICR-D,24.32
WHONDRS_S19S,S19S_0075_Sed_Field_ICR-D,9.99
WHONDRS_S19S,S19S_0044_Sed_Field_ICR-U,21.03
WHONDRS_S19S,S19S_0028_Sed_Field_ICR-M,39.33
WHONDRS_S19S,S19S_0041_Sed_Field_ICR-M,18.17
WHONDRS_S19S,S19S_0034_Sed_Field_ICR-M,23.8
WHONDRS_S19S,S19S_0055_Sed_Field_ICR-U,23.65
WHONDRS_S19S,S19S_0025_Sed_Field_ICR-U,11.06
WHONDRS_S19S,S19S_0025_Sed_Field_ICR-M,8.99
WHONDRS_S19S,S19S_0063_Sed_Field_ICR-U,3.43
WHONDRS_S19S,S19S_0038_Sed_Field_ICR-D,17
WHONDRS_S19S,S19S_0038_Sed_Field_ICR-M,8.56
WHONDRS_S19S,S19S_0061_Sed_Field_ICR-D,17.25
WHONDRS_S19S,S19S_0012_Sed_Field_ICR-M,13.44
WHONDRS_S19S,S19S_0063_Sed_Field_ICR-M,5.03
WHONDRS_S19S,S19S_0016_Sed_Field_ICR-D,6.38
WHONDRS_S19S,S19S_0037_Sed_Field_ICR-U,21.11
WHONDRS_S19S,S19S_0035_Sed_Field_ICR-M,7.76
WHONDRS_S19S,S19S_0027_Sed_Field_ICR-M,15.12
WHONDRS_S19S,S19S_0027_Sed_Field_ICR-D,10.47
WHONDRS_S19S,S19S_0035_Sed_Field_ICR-U,9.27
WHONDRS_S19S,S19S_0016_Sed_Field_ICR-U,10.76
WHONDRS_S19S,S19S_0030_Sed_Field_ICR-U,6.84
WHONDRS_S19S,S19S_0027_Sed_Field_ICR-U,13.41
WHONDRS_S19S,S19S_0061_Sed_Field_ICR-M,21.79
WHONDRS_S19S,S19S_0012_Sed_Field_ICR-D,11.5
WHONDRS_S19S,S19S_0016_Sed_Field_ICR-M,21.16
WHONDRS_S19S,S19S_0012_Sed_Field_ICR-U,9.45
WHONDRS_S19S,S19S_0009_Sed_Field_ICR-U,11.85
WHONDRS_S19S,S19S_0048_Sed_Field_ICR-U,4.24
WHONDRS_S19S,S19S_0049_Sed_Field_ICR-U,5.26
WHONDRS_S19S,S19S_0049_Sed_Field_ICR-D,5.51
WHONDRS_S19S,S19S_0048_Sed_Field_ICR-D,7.18
WHONDRS_S19S,S19S_0048_Sed_Field_ICR-M,3.07
WHONDRS_S19S,S19S_0049_Sed_Field_ICR-M,14.92
WHONDRS_S19S,S19S_0069_Sed_Field_ICR-M,5.33
WHONDRS_S19S,S19S_0056_Sed_Field_ICR-M,8.39
WHONDRS_S19S,S19S_0001_Sed_Field_ICR-D,2.35
WHONDRS_S19S,S19S_0056_Sed_Field_ICR-U,6.93
WHONDRS_S19S,S19S_0068_Sed_Field_ICR-M,7.01
WHONDRS_S19S,S19S_0070_Sed_Field_ICR-U,5.62
WHONDRS_S19S,S19S_0070_Sed_Field_ICR-D,8.06
WHONDRS_S19S,S19S_0058_Sed_Field_ICR-D,33.83
WHONDRS_S19S,S19S_0069_Sed_Field_ICR-D,9.2
WHONDRS_S19S,S19S_0056_Sed_Field_ICR-M,8.39
WHONDRS_S19S,S19S_0092_Sed_Field_ICR-M,38
WHONDRS_S19S,S19S_0069_Sed_Field_ICR-U,6.22
WHONDRS_S19S,S19S_0001_Sed_Field_ICR-M,2.5
WHONDRS_S19S,S19S_0032_Sed_Field_ICR-M,14.81
WHONDRS_S19S,S19S_0065_Sed_Field_ICR-D,6.65
WHONDRS_S19S,S19S_0058_Sed_Field_ICR-U,18.17
WHONDRS_S19S,S19S_0032_Sed_Field_ICR-U,22.13
WHONDRS_S19S,S19S_0092_Sed_Field_ICR-D,11.8
WHONDRS_S19S,S19S_0032_Sed_Field_ICR-D,34.48
WHONDRS_S19S,S19S_0001_Sed_Field_ICR-U,3.17
WHONDRS_S19S,S19S_0056_Sed_Field_ICR-D,14.72
WHONDRS_S19S,S19S_0046_Sed_Field_ICR-M,2.62
WHONDRS_S19S,S19S_0046_Sed_Field_ICR-U,3.09
WHONDRS_S19S,S19S_0065_Sed_Field_ICR-U,12.27
WHONDRS_S19S,S19S_0046_Sed_Field_ICR-D,2.7
WHONDRS_S19S,S19S_0092_Sed_Field_ICR-U,41.01
WHONDRS_S19S,S19S_0065_Sed_Field_ICR-M,10.34
WHONDRS_S19S,S19S_0009_Sed_Field_ICR-M,9.27
WHONDRS_S19S,S19S_0059_Sed_Field_ICR-M,22.84
WHONDRS_S19S,S19S_0050_Sed_Field_ICR-U,17.69
WHONDRS_S19S,S19S_0033_Sed_Field_ICR-U,8.31
WHONDRS_S19S,S19S_0003_Sed_Field_ICR-U,11.28
WHONDRS_S19S,S19S_0062_Sed_Field_ICR-M,8.54
WHONDRS_S19S,S19S_0038_Sed_Field_ICR-U,10.02
WHONDRS_S19S,S19S_0085_Sed_Field_ICR-D,17.21
WHONDRS_S19S,S19S_0037_Sed_Field_ICR-D,16.06
WHONDRS_S19S,S19S_0033_Sed_Field_ICR-M,5.22
WHONDRS_S19S,S19S_0004_Sed_Field_ICR-M,18.34
WHONDRS_S19S,S19S_0004_Sed_Field_ICR-D,88.35
WHONDRS_S19S,S19S_0044_Sed_Inc_ICR-M,14.77
WHONDRS_S19S,S19S_0094_Sed_Field_ICR-U,4.92
WHONDRS_S19S,S19S_0044_Sed_Field_ICR-M,17.05
WHONDRS_S19S,S19S_0010_Sed_Field_ICR-U,15.69
WHONDRS_S19S,S19S_0096_Sed_Field_ICR-D,3.23
WHONDRS_S19S,S19S_0097_Sed_Field_ICR-M,16.42
WHONDRS_S19S,S19S_0047_Sed_Field_ICR-D,26.9
WHONDRS_S19S,S19S_0062_Sed_Field_ICR-D,5.45
WHONDRS_S19S,S19S_0093_Sed_Field_ICR-D,25.04
WHONDRS_S19S,S19S_0010_Sed_Field_ICR-D,10.82
WHONDRS_S19S,S19S_0062_Sed_Field_ICR-U,6.47
WHONDRS_S19S,S19S_0024_Sed_Field_ICR-D,45.55
WHONDRS_S19S,S19S_0085_Sed_Field_ICR-M,16.71
WHONDRS_S19S,S19S_0010_Sed_Field_ICR-M,20.73
WHONDRS_S19S,S19S_0030_Sed_Field_ICR-M,12.24
WHONDRS_S19S,S19S_0050_Sed_Field_ICR-M,28.03
WHONDRS_S19S,S19S_0037_Sed_Field_ICR-M,41.86
WHONDRS_S19S,S19S_0047_Sed_Field_ICR-U,37.71
WHONDRS_S19S,S19S_0085_Sed_Field_ICR-U,31.34
